combo,phase,source,freshness,other_state,horizon,triggers,same_second,eligible,censored,followed,follow_pct
UEFA Champions League 2026/27,pre_last_hour,POLYMARKET,60,all,30,9917,199,9651,266,2896,30.00725313439022
UEFA Champions League 2026/27,pre_last_hour,POLYMARKET,60,all,60,9917,199,9471,446,4126,43.56456551578503
UEFA Champions League 2026/27,pre_last_hour,POLYMARKET,60,all,300,9917,199,8256,1661,6218,75.31492248062015
UEFA Champions League Women 2025/26,pre_last_hour,KALSHI,60,all,1,0,0,0,0,0,
UEFA Champions League Women 2025/26,pre_last_hour,KALSHI,60,all,5,0,0,0,0,0,
UEFA Champions League Women 2025/26,pre_last_hour,KALSHI,60,all,10,0,0,0,0,0,
UEFA Champions League Women 2025/26,pre_last_hour,KALSHI,60,all,30,0,0,0,0,0,
UEFA Champions League Women 2025/26,pre_last_hour,KALSHI,60,all,60,0,0,0,0,0,
UEFA Champions League Women 2025/26,pre_last_hour,KALSHI,60,all,300,0,0,0,0,0,
UEFA Champions League Women 2025/26,pre_last_hour,POLYMARKET,60,all,1,227,0,227,0,0,0.0
UEFA Champions League Women 2025/26,pre_last_hour,POLYMARKET,60,all,5,227,0,227,0,0,0.0
UEFA Champions League Women 2025/26,pre_last_hour,POLYMARKET,60,all,10,227,0,226,1,0,0.0
UEFA Champions League Women 2025/26,pre_last_hour,POLYMARKET,60,all,30,227,0,223,4,0,0.0
UEFA Champions League Women 2025/26,pre_last_hour,POLYMARKET,60,all,60,227,0,217,10,0,0.0
UEFA Champions League Women 2025/26,pre_last_hour,POLYMARKET,60,all,300,227,0,185,42,0,0.0
UEFA Champions League Women 2026/27,pre_last_hour,KALSHI,60,all,1,267,0,267,0,6,2.247191011235955
UEFA Champions League Women 2026/27,pre_last_hour,KALSHI,60,all,5,267,0,266,1,110,41.35338345864662
UEFA Champions League Women 2026/27,pre_last_hour,KALSHI,60,all,10,267,0,265,2,115,43.39622641509434
UEFA Champions League Women 2026/27,pre_last_hour,KALSHI,60,all,30,267,0,254,13,128,50.39370078740158
UEFA Champions League Women 2026/27,pre_last_hour,KALSHI,60,all,60,267,0,242,25,135,55.78512396694215
UEFA Champions League Women 2026/27,pre_last_hour,KALSHI,60,all,300,267,0,194,73,126,64.94845360824742
UEFA Champions League Women 2026/27,pre_last_hour,POLYMARKET,60,all,1,346,0,346,0,1,0.28901734104046245
UEFA Champions League Women 2026/27,pre_last_hour,POLYMARKET,60,all,5,346,0,346,0,15,4.335260115606936
UEFA Champions League Women 2026/27,pre_last_hour,POLYMARKET,60,all,10,346,0,346,0,22,6.358381502890174
UEFA Champions League Women 2026/27,pre_last_hour,POLYMARKET,60,all,30,346,0,342,4,42,12.280701754385966
UEFA Champions League Women 2026/27,pre_last_hour,POLYMARKET,60,all,60,346,0,333,13,56,16.816816816816818
UEFA Champions League Women 2026/27,pre_last_hour,POLYMARKET,60,all,300,346,0,296,50,110,37.16216216216216
World Cup 2026/27,pre_last_hour,KALSHI,60,all,1,811900,231283,811620,280,231424,28.5138365244819
World Cup 2026/27,pre_last_hour,KALSHI,60,all,5,811900,231283,810502,1398,605547,74.71258553341016
World Cup 2026/27,pre_last_hour,KALSHI,60,all,10,811900,231283,809112,2788,720681,89.07061074363006
World Cup 2026/27,pre_last_hour,KALSHI,60,all,30,811900,231283,803561,8339,792803,98.66120929213837
World Cup 2026/27,pre_last_hour,KALSHI,60,all,60,811900,231283,795303,16597,793510,99.77455133452281
World Cup 2026/27,pre_last_hour,KALSHI,60,all,300,811900,231283,730250,81650,730234,99.99780896953098
World Cup 2026/27,pre_last_hour,POLYMARKET,60,all,1,288778,231283,288636,142,231539,80.2183372829446
World Cup 2026/27,pre_last_hour,POLYMARKET,60,all,5,288778,231283,288115,663,280683,97.42047446332194
World Cup 2026/27,pre_last_hour,POLYMARKET,60,all,10,288778,231283,287583,1195,285779,99.37270283709398
World Cup 2026/27,pre_last_hour,POLYMARKET,60,all,30,288778,231283,285108,3670,285025,99.97088822481305
World Cup 2026/27,pre_last_hour,POLYMARKET,60,all,60,288778,231283,281630,7148,281626,99.99857969676526
World Cup 2026/27,pre_last_hour,POLYMARKET,60,all,300,288778,231283,255019,33759,255019,100.0
