cell,route,direction,n,n_lot,pos_0c,pos_0c_lot,pos_1c,fresh_time,open_time_0c,edge_sum,fixtures,pos_pct,open_pct_of_fresh,mean_net_c,outcome_sel,panel
World Cup 2026/27 | post_0_to_105m  F=5s,maker/maker,K YES + PM NO,575790.0,156236.0,394929.0,103495.0,89750.0,748445.0,515179.0,2514.0673360452693,104,68.58906893138123,68.83324760002405,0.4366292113522759,team_win,World Cup 2026/27 | post_0_to_105m  F=5s | team_win
World Cup 2026/27 | post_0_to_105m  F=5s,maker/maker,PM YES + K NO,752325.0,244183.0,606809.0,189425.0,190167.0,782675.0,629403.0,5403.863231125056,104,80.65782740172133,80.41690356789216,0.7182884034326994,team_win,World Cup 2026/27 | post_0_to_105m  F=5s | team_win
World Cup 2026/27 | post_0_to_105m  F=5s,maker/taker,K YES + PM NO,918946.0,327207.0,48108.0,18864.0,5046.0,974460.0,51041.0,-12800.072391534595,104,5.2351280706374475,5.237875336083574,-1.3929080045546305,team_win,World Cup 2026/27 | post_0_to_105m  F=5s | team_win
World Cup 2026/27 | post_0_to_105m  F=5s,maker/taker,PM YES + K NO,487702.0,136246.0,46493.0,15128.0,6448.0,637432.0,57644.0,-5195.9264305511415,104,9.533075525628355,9.043160682237477,-1.0653896089315076,team_win,World Cup 2026/27 | post_0_to_105m  F=5s | team_win
World Cup 2026/27 | post_0_to_105m  F=5s,taker/maker,K YES + PM NO,487702.0,136246.0,93083.0,31001.0,7752.0,637432.0,119604.0,-4952.193251948837,104,19.086040245887858,18.76341319544673,-1.015413767413059,team_win,World Cup 2026/27 | post_0_to_105m  F=5s | team_win
World Cup 2026/27 | post_0_to_105m  F=5s,taker/maker,PM YES + K NO,918946.0,327207.0,185892.0,83897.0,14006.0,974460.0,200545.0,-7357.470565765393,104,20.228827373969743,20.580116166902695,-0.8006423191096531,team_win,World Cup 2026/27 | post_0_to_105m  F=5s | team_win
World Cup 2026/27 | post_0_to_105m  F=5s,taker/taker,K YES + PM NO,752325.0,244183.0,4596.0,2988.0,1732.0,782675.0,4920.0,-21615.997876125184,104,0.6109061908084936,0.6286134091417255,-2.873226049396894,team_win,World Cup 2026/27 | post_0_to_105m  F=5s | team_win
World Cup 2026/27 | post_0_to_105m  F=5s,taker/taker,PM YES + K NO,575790.0,156236.0,5206.0,3141.0,1909.0,748445.0,5788.0,-15034.722821545294,104,0.9041490821306379,0.7733367181289206,-2.6111469149421307,team_win,World Cup 2026/27 | post_0_to_105m  F=5s | team_win
World Cup 2026/27 | pre_last_hour  F=10s,maker/maker,K YES + PM NO,172668.0,22997.0,101868.0,12598.0,11862.0,367498.0,230282.0,438.44792272712135,104,58.996455625825284,62.662109725767216,0.2539254075608227,team_win,World Cup 2026/27 | pre_last_hour  F=10s | team_win
World Cup 2026/27 | pre_last_hour  F=10s,maker/maker,PM YES + K NO,319588.0,85068.0,283325.0,76416.0,94737.0,359995.0,315216.0,2726.5353147483174,104,88.65320349950561,87.56121612800177,0.8531407045159134,team_win,World Cup 2026/27 | pre_last_hour  F=10s | team_win
