combo,phase,freshness,series,clock_pct
World Cup 2026/27,pre_last_hour,60,Neither fresh,0.0
Bundesliga 2025/26,post_0_to_105m,60,Neither fresh,17.34266474266474
La Liga 2025/26,post_0_to_105m,60,Neither fresh,9.92865016376921
Ligue 1 2025/26,post_0_to_105m,60,Neither fresh,21.748277568421457
Premier League 2025/26,post_0_to_105m,60,Neither fresh,3.383168672254218
Serie A 2025/26,post_0_to_105m,60,Neither fresh,13.398725901599466
UEFA Champions League 2025/26,post_0_to_105m,60,Neither fresh,7.191595979955769
UEFA Champions League 2026/27,post_0_to_105m,60,Neither fresh,15.86895701964195
UEFA Champions League Women 2025/26,post_0_to_105m,60,Neither fresh,68.08333333333333
UEFA Champions League Women 2026/27,post_0_to_105m,60,Neither fresh,69.28081520674114
World Cup 2026/27,post_0_to_105m,60,Neither fresh,0.0719373219373219
