combo,phase,freshness,fresh_pct_of_clock,k_only_pct_of_clock,pm_only_pct_of_clock,neither_pct_of_clock
Ligue 1 2025/26,pre_last_hour,10,2.61923794297895,5.478017585931255,8.10068611777245,83.80205835331735
UEFA Champions League Women 2026/27,pre_last_hour,10,0.2479423868312757,0.553840877914952,0.8453360768175583,98.35288065843622
World Cup 2026/27,post_0_to_105m,10,93.23748473748473,5.311050061050061,0.5284391534391534,0.923026048026048
UEFA Champions League 2025/26,post_0_to_105m,10,31.11774586377761,28.444332465496487,7.622518966434312,32.81540270429159
Premier League 2025/26,post_0_to_105m,10,34.04891448549266,30.845187370261115,8.667665558521016,26.438232585725213
La Liga 2025/26,post_0_to_105m,10,23.688869992441422,25.705325648778025,10.19455467372134,40.41124968505921
Serie A 2025/26,post_0_to_105m,10,17.63219911208417,23.473575381621362,11.21133613087636,47.682889375418114
UEFA Champions League 2026/27,post_0_to_105m,10,12.720373994346597,23.50228310502283,12.388852649126619,51.38849025150395
Bundesliga 2025/26,post_0_to_105m,10,14.69693121693122,20.037960557960552,12.091332371332369,53.17377585377585
Ligue 1 2025/26,post_0_to_105m,10,11.336664002131627,18.98068212096989,10.674355753492444,59.008298123406036
UEFA Champions League Women 2026/27,post_0_to_105m,10,0.9811875367430923,6.494806976288459,1.342347638643935,91.18165784832452
World Cup 2026/27,post_105_to_135m,10,45.88995726495727,7.31712962962963,21.51745014245014,25.27546296296296
UEFA Champions League 2025/26,post_105_to_135m,10,14.453556731334508,8.356554967666078,12.493337252596511,64.6965510484029
Premier League 2025/26,post_105_to_135m,10,22.17518846279908,10.319130339779308,12.731399541134056,54.77428165628756
La Liga 2025/26,post_105_to_135m,10,17.59259259259259,10.210703262786597,11.186728395061728,61.00997574955908
Serie A 2025/26,post_105_to_135m,10,12.456577266922094,10.024744572158363,9.787728820774795,67.73094934014475
UEFA Champions League 2026/27,post_105_to_135m,10,8.015728056823948,9.309994926433282,5.069507864028412,77.60476915271435
Bundesliga 2025/26,post_105_to_135m,10,11.856767676767676,9.465252525252524,9.90013468013468,68.77784511784512
Ligue 1 2025/26,post_105_to_135m,10,8.782240873967492,9.075339728217426,8.370303756994405,73.77211564082067
UEFA Champions League Women 2026/27,post_105_to_135m,10,0.7071330589849109,5.253772290809328,1.168724279835391,92.87037037037037
World Cup 2026/27,pre_24h_to_1h,60,66.72226093150006,18.162675740121397,8.917843428712994,6.197219899665551
UEFA Champions League 2025/26,pre_24h_to_1h,60,12.619226541931855,14.256170709471837,10.491882439144918,62.632720309451386
Premier League 2025/26,pre_24h_to_1h,60,8.786564395612748,13.681538245954046,8.84065927540982,68.69123808302338
La Liga 2025/26,pre_24h_to_1h,60,4.581814086343072,7.474424411471513,7.395658404263477,80.54810309792194
Serie A 2025/26,pre_24h_to_1h,60,2.6049868584226403,5.117005154829992,5.945309752531142,86.33269823421622
UEFA Champions League 2026/27,pre_24h_to_1h,60,0.5242924580327797,2.868092780093971,3.684760549709925,92.92285421216332
Bundesliga 2025/26,pre_24h_to_1h,60,1.6820333772507683,3.9973752012882446,5.708638559508125,88.61195286195286
Ligue 1 2025/26,pre_24h_to_1h,60,1.2803887324922671,2.7669603447676643,4.364588039713157,91.58806288302692
UEFA Champions League Women 2026/27,pre_24h_to_1h,60,0.2206864674658555,0.2232659390469374,0.4830768771992604,99.07297071628794
World Cup 2026/27,pre_last_hour,60,99.55243945868946,0.4425747863247863,0.0049857549857549,0.0
UEFA Champions League 2025/26,pre_last_hour,60,54.0671173819322,20.07397609249461,8.48143249069175,17.37747403488144
Premier League 2025/26,pre_last_hour,60,52.511307767944935,20.662569649295317,9.97823118103354,16.84789140172621
La Liga 2025/26,pre_last_hour,60,33.34173831569665,17.909198633156965,14.821263227513228,33.92779982363316
Serie A 2025/26,pre_last_hour,60,25.5941091954023,16.13950085142614,16.41304810557684,41.85334184759472
UEFA Champions League 2026/27,pre_last_hour,60,12.518645357686454,14.68581938102486,19.755327245053277,53.04020801623541
Bundesliga 2025/26,pre_last_hour,60,18.07838383838384,13.183367003367003,18.986734006734007,49.75151515151515
Ligue 1 2025/26,pre_last_hour,60,15.66669997335465,12.490174527045031,16.770516919797494,55.072608579802825
