panel,gap_bucket,weighting,share_pct
UEFA Champions League 2025/26 | post_0_to_105m  F=60s | team_win,"[3,4)",per second,1.1309050179113933
UEFA Champions League 2025/26 | post_0_to_105m  F=60s | team_win,≥4,per print,1.7028157966572566
UEFA Champions League 2025/26 | post_0_to_105m  F=60s | team_win,≥4,per second,1.6813633340553766
World Cup 2026/27 | post_0_to_105m  F=5s | team_win,≤−4,per print,0.20604317635706582
World Cup 2026/27 | post_0_to_105m  F=5s | team_win,≤−4,per second,0.1958242053024545
World Cup 2026/27 | post_0_to_105m  F=5s | team_win,"(−4,−3]",per print,0.43147976463020077
World Cup 2026/27 | post_0_to_105m  F=5s | team_win,"(−4,−3]",per second,0.41749005230920555
World Cup 2026/27 | post_0_to_105m  F=5s | team_win,"(−3,−2]",per print,4.030707812233932
World Cup 2026/27 | post_0_to_105m  F=5s | team_win,"(−3,−2]",per second,3.9618187508382885
World Cup 2026/27 | post_0_to_105m  F=5s | team_win,"(−2,−1]",per print,19.992810247289654
World Cup 2026/27 | post_0_to_105m  F=5s | team_win,"(−2,−1]",per second,19.7671569723253
World Cup 2026/27 | post_0_to_105m  F=5s | team_win,"(−1,1)",per print,69.50693432728511
World Cup 2026/27 | post_0_to_105m  F=5s | team_win,"(−1,1)",per second,69.8736531497295
World Cup 2026/27 | post_0_to_105m  F=5s | team_win,"[1,2)",per print,5.091480143038238
World Cup 2026/27 | post_0_to_105m  F=5s | team_win,"[1,2)",per second,5.065587696159521
World Cup 2026/27 | post_0_to_105m  F=5s | team_win,"[2,3)",per print,0.4888085822942879
World Cup 2026/27 | post_0_to_105m  F=5s | team_win,"[2,3)",per second,0.47909867215093666
World Cup 2026/27 | post_0_to_105m  F=5s | team_win,"[3,4)",per print,0.08996651088869127
World Cup 2026/27 | post_0_to_105m  F=5s | team_win,"[3,4)",per second,0.08548307774846872
World Cup 2026/27 | post_0_to_105m  F=5s | team_win,≥4,per print,0.1617694359828203
World Cup 2026/27 | post_0_to_105m  F=5s | team_win,≥4,per second,0.15388742343631243
World Cup 2026/27 | pre_last_hour  F=10s | team_win,≤−4,per print,0.0
World Cup 2026/27 | pre_last_hour  F=10s | team_win,≤−4,per second,0.0
