cell,route,freshness,n,pos_0c,pos_pct
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,166,1465348,1126344,76.86529070227687
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,167,1465992,1126840,76.86535806470977
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,168,1466597,1127316,76.86610568547461
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,169,1467191,1127791,76.86736082759505
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,170,1467808,1128282,76.8685005123286
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,171,1468434,1128771,76.8690319074606
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,172,1469038,1129255,76.87037367311125
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,173,1469614,1129718,76.87174999693796
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,174,1470256,1130226,76.87273508831115
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,175,1470831,1130698,76.87477351238857
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,176,1471385,1131129,76.87512105941
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,177,1471984,1131604,76.87610734899292
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,178,1472526,1132038,76.87728433997091
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,179,1473099,1132504,76.87901492024636
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,180,1473646,1132950,76.88074340784694
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,181,1474190,1133387,76.88201656502893
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,182,1474691,1133787,76.88302159571056
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,183,1475237,1134218,76.88378206349218
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,184,1475737,1134613,76.88449906724573
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,185,1476280,1135049,76.88575338011759
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,186,1476786,1135447,76.88635997361838
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,187,1477292,1135856,76.88771075725043
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,188,1477799,1136257,76.8884672408088
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,189,1478346,1136701,76.89005144939006
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,190,1478817,1137079,76.89112310718635
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,191,1479300,1137458,76.89163793686203
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,192,1479794,1137855,76.89279724069702
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,193,1480265,1138223,76.89319142180624
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,194,1480742,1138597,76.8936789798628
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,195,1481225,1138981,76.89452986548297
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,196,1481689,1139361,76.89609627931368
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,197,1482148,1139720,76.8965042627322
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,198,1482599,1140082,76.89752927123247
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,199,1483066,1140442,76.8975891834888
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,200,1483491,1140793,76.89921947622197
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,201,1483944,1141160,76.90047602874502
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,202,1484364,1141474,76.89987092114872
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,203,1484803,1141801,76.89915766603382
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,204,1485228,1142137,76.89977565734016
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,205,1485666,1142490,76.90086466271693
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,206,1486078,1142804,76.90067412343093
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,207,1486494,1143131,76.90115129963525
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,208,1486921,1143463,76.9013955684263
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,209,1487355,1143799,76.90154670539313
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,210,1487766,1144126,76.90228167601626
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,211,1488164,1144446,76.90321765611854
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,212,1488600,1144797,76.90427247077791
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,213,1488979,1145096,76.90477837498044
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,214,1489347,1145400,76.9061877453676
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,215,1489737,1145717,76.90733330782548
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,216,1490080,1145985,76.90761569848598
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,217,1490400,1146243,76.90841384863124
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,218,1490761,1146529,76.90897467803357
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,219,1491099,1146810,76.91038623190009
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,220,1491468,1147092,76.91026559067978
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,221,1491832,1147386,76.91120716005555
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,222,1492170,1147655,76.9118129971786
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,223,1492501,1147912,76.91197526835828
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,224,1492851,1148187,76.9123643283891
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,225,1493226,1148490,76.91334064635896
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,226,1493572,1148766,76.91400213715843
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,227,1493882,1149001,76.91377230597865
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,228,1494234,1149279,76.91425840932544
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,229,1494564,1149539,76.914672105042
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,230,1494899,1149807,76.91536351285271
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,231,1495241,1150078,76.91589516338837
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,232,1495544,1150322,76.91662699325462
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,233,1495879,1150603,76.91818656455501
Premier League 2025/26 | post_0_to_105m  F=60s,maker/maker,234,1496206,1150861,76.91861949490912
