cell,selection,pm_action,k_action,mean_gap_c,le_m2c_pct,ge_p2c_pct,prints
Premier League 2025/26 | post_0_to_105m  F=60s,unequal | strong,sell,all,-1.216388169124198,32.57599715077847,2.373634875945263,325703
Premier League 2025/26 | post_0_to_105m  F=60s,unequal | strong,all,buy,-0.921537009870494,21.732646420824295,1.7463733731019522,354048
Premier League 2025/26 | post_0_to_105m  F=60s,unequal | strong,all,sell,0.4603703822692212,6.905321004374897,11.60273211797605,205262
Premier League 2025/26 | post_0_to_105m  F=60s,unequal | strong,all,all,-0.5631439400092739,17.43670846668244,3.8897675055726437,401515
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,unequal | strong,buy,buy,-0.45605590834031245,12.217368807383608,4.729071152665968,166206
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,unequal | strong,buy,sell,0.9231341686797719,4.982138657767724,20.389925979014322,89299
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,unequal | strong,buy,all,-0.10324224262608969,9.9765360215521,8.754773309341116,195619
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,unequal | strong,sell,buy,-1.8367562380931228,40.04610004239085,1.5929684188215347,150976
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,unequal | strong,sell,sell,-0.4486988096111988,13.985243915868297,7.940877779001333,81729
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,unequal | strong,sell,all,-1.4829965571380763,32.30741352896278,2.987156326017363,182113
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,unequal | strong,all,buy,-1.0730515302024426,21.983368070465758,3.0205594947580097,190958
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,unequal | strong,all,sell,0.2927038275639607,8.11418123408691,13.325131149501889,117042
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,unequal | strong,all,all,-0.7254742640371993,17.6655134912572,5.6037164173092675,223441
World Cup 2026/27 | post_0_to_105m  F=5s,unequal | strong,buy,buy,-0.31754401055818043,7.155010568274066,1.0005302986511313,397889
World Cup 2026/27 | post_0_to_105m  F=5s,unequal | strong,buy,sell,0.7092234111898956,1.2307403884209722,6.902561467584138,288038
World Cup 2026/27 | post_0_to_105m  F=5s,unequal | strong,buy,all,-0.06375401253979712,4.712600851234576,1.8003945677667752,418686
World Cup 2026/27 | post_0_to_105m  F=5s,unequal | strong,sell,buy,-1.0834627041262601,26.473883065523882,0.4078152335308214,340105
World Cup 2026/27 | post_0_to_105m  F=5s,unequal | strong,sell,sell,-0.006215582585942084,4.956082607926746,2.5053545813601623,254455
World Cup 2026/27 | post_0_to_105m  F=5s,unequal | strong,sell,all,-0.7604395288303898,15.73906487723758,0.5633925485211626,367417
World Cup 2026/27 | post_0_to_105m  F=5s,unequal | strong,all,buy,-0.6047860560843532,10.031482139849933,0.5010010665568925,427544
World Cup 2026/27 | post_0_to_105m  F=5s,unequal | strong,all,sell,0.4134665029192788,1.5572223477745677,3.630566634701718,327442
World Cup 2026/27 | post_0_to_105m  F=5s,unequal | strong,all,all,-0.3240613599307527,6.530398964546202,0.8957462438563657,457384
Premier League 2025/26 | post_0_to_105m  F=60s,unequal | weak,buy,buy,-0.2467630006826879,7.613416357071843,3.054087523764673,171999
Premier League 2025/26 | post_0_to_105m  F=60s,unequal | weak,buy,sell,1.2426489156055989,3.2254525507405374,21.06417992320351,72920
Premier League 2025/26 | post_0_to_105m  F=60s,unequal | weak,buy,all,0.09517599143607627,6.027197003152173,6.5627109696609764,197007
Premier League 2025/26 | post_0_to_105m  F=60s,unequal | weak,sell,buy,-1.3417645218664478,28.94205454591928,1.352145796590241,156492
Premier League 2025/26 | post_0_to_105m  F=60s,unequal | weak,sell,sell,0.08342911061777653,8.894479133911325,9.464983603611698,66783
Premier League 2025/26 | post_0_to_105m  F=60s,unequal | weak,sell,all,-1.0206471325511943,23.87562249753219,2.8138552145606193,180322
Premier League 2025/26 | post_0_to_105m  F=60s,unequal | weak,all,buy,-0.7357239141211053,15.490109425587718,1.8191163331379876,208178
Premier League 2025/26 | post_0_to_105m  F=60s,unequal | weak,all,sell,0.7034574880672612,4.741643167517989,14.297183112725667,99649
Premier League 2025/26 | post_0_to_105m  F=60s,unequal | weak,all,all,-0.4040381614236614,12.376042948980988,4.147859389960334,233952
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,unequal | weak,buy,buy,-0.05938342660599231,7.269584583295247,4.189069031137556,120337
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,unequal | weak,buy,sell,1.4280711468845528,3.222764902223312,21.493899564389295,53029
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,unequal | weak,buy,all,0.2861871722070498,5.863597537627758,7.848811522488292,135804
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,unequal | weak,sell,buy,-1.2674126492534763,33.35012133144087,1.7169543519069639,109205
