cell,fixture_rank,fixtures_pct,observations,cumulative_pct
Premier League 2025/26 | post_0_to_105m  F=60s,212,62.53687315634218,2381,86.86044685581264
Premier League 2025/26 | post_0_to_105m  F=60s,213,62.83185840707964,2378,87.04350624157064
Premier League 2025/26 | post_0_to_105m  F=60s,214,63.12684365781711,2357,87.22494903897672
Premier League 2025/26 | post_0_to_105m  F=60s,215,63.42182890855457,2334,87.40462128723541
Premier League 2025/26 | post_0_to_105m  F=60s,216,63.716814159292035,2334,87.58429353549413
Premier League 2025/26 | post_0_to_105m  F=60s,217,64.0117994100295,2315,87.7625031561963
Premier League 2025/26 | post_0_to_105m  F=60s,218,64.30678466076697,2301,87.93963505133053
Premier League 2025/26 | post_0_to_105m  F=60s,219,64.60176991150442,2300,88.11668996606704
Premier League 2025/26 | post_0_to_105m  F=60s,220,64.89675516224189,2292,88.29312903762187
Premier League 2025/26 | post_0_to_105m  F=60s,221,65.19174041297936,2284,88.46895226599499
Premier League 2025/26 | post_0_to_105m  F=60s,222,65.48672566371681,2259,88.64285098442532
Premier League 2025/26 | post_0_to_105m  F=60s,223,65.78171091445428,2248,88.81590291848084
Premier League 2025/26 | post_0_to_105m  F=60s,224,66.07669616519173,2230,88.98756920537754
Premier League 2025/26 | post_0_to_105m  F=60s,225,66.3716814159292,2218,89.15831172750171
Premier League 2025/26 | post_0_to_105m  F=60s,226,66.66666666666667,2217,89.32897726922816
Premier League 2025/26 | post_0_to_105m  F=60s,227,66.96165191740413,2199,89.49825716379581
Premier League 2025/26 | post_0_to_105m  F=60s,228,67.2566371681416,2182,89.66622839160236
Premier League 2025/26 | post_0_to_105m  F=60s,229,67.55162241887906,2173,89.8335067958295
Premier League 2025/26 | post_0_to_105m  F=60s,230,67.84660766961652,2172,90.00070821965895
Premier League 2025/26 | post_0_to_105m  F=60s,231,68.14159292035399,2170,90.16775568269296
Premier League 2025/26 | post_0_to_105m  F=60s,232,68.43657817109144,2168,90.33464918493155
Premier League 2025/26 | post_0_to_105m  F=60s,233,68.73156342182891,2118,90.49769366728457
Premier League 2025/26 | post_0_to_105m  F=60s,234,69.02654867256638,2093,90.65881363969478
Premier League 2025/26 | post_0_to_105m  F=60s,235,69.32153392330383,2082,90.81908682773019
Premier League 2025/26 | post_0_to_105m  F=60s,236,69.6165191740413,2056,90.97735852542509
Premier League 2025/26 | post_0_to_105m  F=60s,237,69.91150442477876,2024,91.13316685039321
Premier League 2025/26 | post_0_to_105m  F=60s,238,70.20648967551622,2021,91.2887442341682
Premier League 2025/26 | post_0_to_105m  F=60s,239,70.50147492625369,1960,91.43962581368281
Premier League 2025/26 | post_0_to_105m  F=60s,240,70.79646017699115,1946,91.58942966762943
Premier League 2025/26 | post_0_to_105m  F=60s,241,71.09144542772862,1939,91.73869465879208
Premier League 2025/26 | post_0_to_105m  F=60s,242,71.38643067846607,1919,91.88642004200051
Premier League 2025/26 | post_0_to_105m  F=60s,243,71.68141592920354,1908,92.0332986408341
Premier League 2025/26 | post_0_to_105m  F=60s,244,71.976401179941,1902,92.17971535728142
Premier League 2025/26 | post_0_to_105m  F=60s,245,72.27138643067846,1875,92.32405360299053
Premier League 2025/26 | post_0_to_105m  F=60s,246,72.56637168141593,1864,92.46754506432482
