combo,phase,freshness,fresh_pct_of_clock
World Cup 2026/27,pre_24h_to_1h,196,88.7077604360213
World Cup 2026/27,pre_24h_to_1h,197,88.76872367769107
World Cup 2026/27,pre_24h_to_1h,198,88.82929208472687
World Cup 2026/27,pre_24h_to_1h,199,88.88896243651678
World Cup 2026/27,pre_24h_to_1h,200,88.94810634212809
World Cup 2026/27,pre_24h_to_1h,201,89.00675089805524
World Cup 2026/27,pre_24h_to_1h,202,89.06471804162021
World Cup 2026/27,pre_24h_to_1h,203,89.12227873776787
World Cup 2026/27,pre_24h_to_1h,204,89.1794097609315
World Cup 2026/27,pre_24h_to_1h,205,89.23583240431067
World Cup 2026/27,pre_24h_to_1h,206,89.29174021429456
World Cup 2026/27,pre_24h_to_1h,207,89.34718738387217
World Cup 2026/27,pre_24h_to_1h,208,89.40196875387093
World Cup 2026/27,pre_24h_to_1h,209,89.4563591601635
World Cup 2026/27,pre_24h_to_1h,210,89.51035086089433
World Cup 2026/27,pre_24h_to_1h,211,89.56371547132417
World Cup 2026/27,pre_24h_to_1h,212,89.61673169825343
World Cup 2026/27,pre_24h_to_1h,213,89.66939954168215
World Cup 2026/27,pre_24h_to_1h,214,89.72140932738759
World Cup 2026/27,pre_24h_to_1h,215,89.77305911680912
World Cup 2026/27,pre_24h_to_1h,216,89.82435278087452
World Cup 2026/27,pre_24h_to_1h,217,89.87504258020563
World Cup 2026/27,pre_24h_to_1h,218,89.9253530286139
World Cup 2026/27,pre_24h_to_1h,219,89.97529573888269
World Cup 2026/27,pre_24h_to_1h,220,90.02454168215037
World Cup 2026/27,pre_24h_to_1h,221,90.07335795243404
World Cup 2026/27,pre_24h_to_1h,222,90.12179874272266
World Cup 2026/27,pre_24h_to_1h,223,90.16963953920477
World Cup 2026/27,pre_24h_to_1h,224,90.21717453239192
World Cup 2026/27,pre_24h_to_1h,225,90.2643959804286
World Cup 2026/27,pre_24h_to_1h,226,90.31104066022544
World Cup 2026/27,pre_24h_to_1h,227,90.35734082744952
World Cup 2026/27,pre_24h_to_1h,228,90.40332357859532
World Cup 2026/27,pre_24h_to_1h,229,90.4487295615013
World Cup 2026/27,pre_24h_to_1h,230,90.4937910318345
World Cup 2026/27,pre_24h_to_1h,231,90.53848089310046
World Cup 2026/27,pre_24h_to_1h,232,90.58272559767126
World Cup 2026/27,pre_24h_to_1h,233,90.62667998265825
