cell,outcome_sel,route,direction,n,pos_pct,mean_net_c,open_pct_of_fresh
World Cup 2026/27 | post_0_to_105m  F=5s,draw,maker/maker,K YES + PM NO,224363.0,81.97831193200305,0.7634074053148082,83.17466715290173
World Cup 2026/27 | post_0_to_105m  F=5s,draw,maker/maker,PM YES + K NO,285719.0,67.26749008641357,0.38984231498014,67.44755364806866
World Cup 2026/27 | post_0_to_105m  F=5s,draw,maker/taker,K YES + PM NO,435627.0,8.277035169996351,-1.122660195401294,8.008858456975261
World Cup 2026/27 | post_0_to_105m  F=5s,draw,maker/taker,PM YES + K NO,164211.0,5.631778626279604,-1.4261474288242886,5.0784400801167315
World Cup 2026/27 | post_0_to_105m  F=5s,draw,taker/maker,K YES + PM NO,164211.0,17.641936289286345,-0.8584934359168065,17.749843663618485
World Cup 2026/27 | post_0_to_105m  F=5s,draw,taker/maker,PM YES + K NO,435627.0,8.242372488390297,-1.3080498466989503,8.760324368050322
World Cup 2026/27 | post_0_to_105m  F=5s,draw,taker/taker,K YES + PM NO,285719.0,0.9946835877208026,-2.7185377010762766,1.0036051502145922
World Cup 2026/27 | post_0_to_105m  F=5s,draw,taker/taker,PM YES + K NO,224363.0,0.5344018398755588,-3.174932323594569,0.42001753005380577
World Cup 2026/27 | pre_last_hour  F=10s,draw,maker/maker,K YES + PM NO,30303.0,83.3943833943834,0.6706320782780398,84.70497148402997
World Cup 2026/27 | pre_last_hour  F=10s,draw,maker/maker,PM YES + K NO,72185.0,74.19962596107224,0.540771314404643,73.59852670349908
World Cup 2026/27 | pre_last_hour  F=10s,draw,maker/taker,K YES + PM NO,191699.0,1.8007397013025628,-1.2146496748072995,1.9270835324385387
World Cup 2026/27 | pre_last_hour  F=10s,draw,maker/taker,PM YES + K NO,10131.0,5.004441812259402,-1.4145075314541,5.087822177543213
World Cup 2026/27 | pre_last_hour  F=10s,draw,taker/maker,K YES + PM NO,10131.0,3.77060507353667,-1.0639456172972546,3.956884756080534
World Cup 2026/27 | pre_last_hour  F=10s,draw,taker/maker,PM YES + K NO,191699.0,5.920218676153762,-1.1856456530243478,5.908550501362836
World Cup 2026/27 | pre_last_hour  F=10s,draw,taker/taker,K YES + PM NO,72185.0,0.3186257532728406,-2.944846404381777,0.30623520126282555
World Cup 2026/27 | pre_last_hour  F=10s,draw,taker/taker,PM YES + K NO,30303.0,0.0,-3.11687115064711,0.0
