cell,outcome,pm_action,k_action,mean_gap_c,le_m2c_pct,ge_p2c_pct,prints
World Cup 2026/27 | pre_last_hour  F=10s,team_win,buy,all,-0.29529271191836304,2.3345994138203947,0.062340309424770604,553414
World Cup 2026/27 | pre_last_hour  F=10s,team_win,sell,buy,-1.1802064476358163,28.254189769328008,0.0,319588
World Cup 2026/27 | pre_last_hour  F=10s,team_win,sell,sell,-0.2309998332496279,3.284323823256772,0.23174374291894118,77672
World Cup 2026/27 | pre_last_hour  F=10s,team_win,sell,all,-1.140700042278748,23.821154359416802,0.0018620702497036206,322222
World Cup 2026/27 | pre_last_hour  F=10s,team_win,all,buy,-0.49312371843466557,5.499296181394978,0.0031127112752778094,578274
World Cup 2026/27 | pre_last_hour  F=10s,team_win,all,sell,0.44288819319934175,0.3074501573976915,1.3153200419727178,190600
World Cup 2026/27 | pre_last_hour  F=10s,team_win,all,all,-0.45492348274485056,4.661774172782285,0.034848289772971115,582525
Premier League 2025/26 | post_0_to_105m  F=60s,draw,buy,buy,-0.07544008437091537,8.681052410661477,5.072214908515063,209652
Premier League 2025/26 | post_0_to_105m  F=60s,draw,buy,sell,1.712848944937638,4.217321532775724,29.974713090838357,82256
Premier League 2025/26 | post_0_to_105m  F=60s,draw,buy,all,0.31837280748687574,7.168799867021276,9.95137965425532,240640
Premier League 2025/26 | post_0_to_105m  F=60s,draw,sell,buy,-1.4119124343197547,33.101236066724994,2.2793141823332324,168033
Premier League 2025/26 | post_0_to_105m  F=60s,draw,sell,sell,0.3391107287830534,11.72818744919981,14.736960116595196,71358
Premier League 2025/26 | post_0_to_105m  F=60s,draw,sell,all,-0.9986483446491004,27.640598323267845,4.794740463267335,196215
Premier League 2025/26 | post_0_to_105m  F=60s,draw,all,buy,-0.5906397003347439,16.27575725022579,3.4320454210880214,251337
Premier League 2025/26 | post_0_to_105m  F=60s,draw,all,sell,1.082743081617763,6.143011034969719,22.059981713996034,110467
Premier League 2025/26 | post_0_to_105m  F=60s,draw,all,all,-0.20459528849945915,13.368368843722628,7.057052303514455,284283
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,draw,buy,buy,0.12702223393480172,5.683731235225875,6.413823783397155,114643
