cell,direction,price_bucket,n,pos_0c,pos_pct
Premier League 2025/26 | post_0_to_105m  F=60s,Pooled,90-100c,61493.0,48064.0,78.16174198689282
Premier League 2025/26 | post_0_to_105m  F=60s,Pooled,70-80c,82209.0,62565.0,76.10480604313396
Premier League 2025/26 | post_0_to_105m  F=60s,Pooled,80-90c,70665.0,52072.0,73.68853038986768
Premier League 2025/26 | post_0_to_105m  F=60s,Pooled,10-20c,202482.0,154932.0,76.51643109017098
Premier League 2025/26 | post_0_to_105m  F=60s,Pooled,20-30c,189388.0,141394.0,74.65837328658627
Premier League 2025/26 | post_0_to_105m  F=60s,Pooled,60-70c,108815.0,82105.0,75.45375178054496
Premier League 2025/26 | post_0_to_105m  F=60s,Pooled,30-40c,159659.0,121145.0,75.87733857784403
Premier League 2025/26 | post_0_to_105m  F=60s,Pooled,50-60c,144172.0,110601.0,76.7146186499459
Premier League 2025/26 | post_0_to_105m  F=60s,Pooled,40-50c,135499.0,104246.0,76.93488512830353
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,Pooled,0-10c,106223.0,89538.0,84.29247902996526
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,Pooled,90-100c,43279.0,33714.0,77.89921208900391
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,Pooled,70-80c,50943.0,38719.0,76.00455410949492
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,Pooled,80-90c,35318.0,26366.0,74.65315136757461
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,Pooled,10-20c,115389.0,92152.0,79.8620319094541
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,Pooled,20-30c,126634.0,97394.0,76.90983464156545
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,Pooled,60-70c,63856.0,47160.0,73.85367075920821
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,Pooled,30-40c,93943.0,72201.0,76.85617874668682
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,Pooled,50-60c,60664.0,45189.0,74.49063695107478
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,Pooled,40-50c,71924.0,55644.0,77.36499638507313
World Cup 2026/27 | post_0_to_105m  F=5s,Pooled,0-10c,310131.0,263430.0,84.94152471052556
World Cup 2026/27 | post_0_to_105m  F=5s,Pooled,90-100c,109378.0,89910.0,82.20117391065845
World Cup 2026/27 | post_0_to_105m  F=5s,Pooled,70-80c,87544.0,62285.0,71.14708032532212
World Cup 2026/27 | post_0_to_105m  F=5s,Pooled,80-90c,98662.0,75476.0,76.49956416857555
World Cup 2026/27 | post_0_to_105m  F=5s,Pooled,10-20c,251217.0,193162.0,76.89049706031041
World Cup 2026/27 | post_0_to_105m  F=5s,Pooled,20-30c,313852.0,229715.0,73.19214151893249
World Cup 2026/27 | post_0_to_105m  F=5s,Pooled,60-70c,95003.0,64617.0,68.01574687115144
World Cup 2026/27 | post_0_to_105m  F=5s,Pooled,30-40c,248969.0,174940.0,70.26577606047339
World Cup 2026/27 | post_0_to_105m  F=5s,Pooled,50-60c,123729.0,83417.0,67.41911758763104
World Cup 2026/27 | post_0_to_105m  F=5s,Pooled,40-50c,199712.0,140911.0,70.55710222720718
World Cup 2026/27 | pre_last_hour  F=10s,Pooled,0-10c,46604.0,41943.0,89.99871255686207
World Cup 2026/27 | pre_last_hour  F=10s,Pooled,90-100c,7346.0,3907.0,53.18540702423088
World Cup 2026/27 | pre_last_hour  F=10s,Pooled,70-80c,38959.0,29732.0,76.31612721065736
World Cup 2026/27 | pre_last_hour  F=10s,Pooled,80-90c,29850.0,23540.0,78.8609715242881
World Cup 2026/27 | pre_last_hour  F=10s,Pooled,10-20c,92898.0,80257.0,86.39260263945403
World Cup 2026/27 | pre_last_hour  F=10s,Pooled,20-30c,114106.0,89558.0,78.4866702890295
World Cup 2026/27 | pre_last_hour  F=10s,Pooled,60-70c,71844.0,54516.0,75.88107566393853
World Cup 2026/27 | pre_last_hour  F=10s,Pooled,30-40c,54725.0,39945.0,72.99223389675652
World Cup 2026/27 | pre_last_hour  F=10s,Pooled,50-60c,88668.0,66724.0,75.25149997744394
World Cup 2026/27 | pre_last_hour  F=10s,Pooled,40-50c,49744.0,33903.0,68.1549533612094
