cell,direction,freshness,n,pos_pct,open_pct_of_clock,open_pct_of_fresh,mean_net_c,time_mean_net_c,both_fresh_pct,k_only_pct_of_clock,pm_only_pct_of_clock
Premier League 2025/26 | post_0_to_105m  F=60s,K YES + PM NO,1,71432,65.9438346959346,0.26745329400196655,65.43205162472793,0.7394138483192109,0.7018315901746179,0.40874966833668896,3.6210141873858688,4.174915328307659
Premier League 2025/26 | post_0_to_105m  F=60s,pooled,15,891447,75.84915311846919,16.936055313636434,76.70692724113506,1.0597998166396307,1.0996116366531004,44.3819356651215,29.715284606140067,7.401460879336986
Premier League 2025/26 | post_0_to_105m  F=60s,pooled,16,912509,75.9040184809136,17.899744033962325,76.76127394367069,1.0615085248663862,1.1002173087520286,46.13416366218726,29.31422952661891,7.175211874326919
Premier League 2025/26 | post_0_to_105m  F=60s,pooled,17,933138,75.94728753946362,18.804451311825943,76.81503427865007,1.0623595165138908,1.100664873896667,47.71854661235192,28.966303007600946,6.947932762092054
Premier League 2025/26 | post_0_to_105m  F=60s,pooled,18,951562,75.99084452720895,19.705849760422034,76.86442452748634,1.0637587253619558,1.101238068764496,49.27758268171248,28.54347520719202,6.738056218882178
Premier League 2025/26 | post_0_to_105m  F=60s,pooled,19,969896,76.02784216039657,20.555547751712943,76.9092122148237,1.064784817668184,1.1017062304899894,50.69849073683882,28.16904683866336,6.530130636325327
Premier League 2025/26 | post_0_to_105m  F=60s,pooled,20,986411,76.0567349715281,21.400017168453747,76.95010832960823,1.0657946486576555,1.1022261891472593,52.09498837227451,27.73794696508561,6.336891885564452
Premier League 2025/26 | post_0_to_105m  F=60s,pooled,21,1002585,76.09489469720772,22.200488520547516,76.98930848009162,1.066941255160843,1.1027390866242088,53.3766446598305,27.350813940784448,6.147679917591422
Premier League 2025/26 | post_0_to_105m  F=60s,pooled,22,1017341,76.12354166400449,22.994154921883535,77.02678080105821,1.0682185657641001,1.1033173360896809,54.63154937491221,26.923959357587673,5.97371665808244
Premier League 2025/26 | post_0_to_105m  F=60s,pooled,23,1031742,76.15208065582287,23.74857579872329,77.06120146181772,1.068864601753248,1.1036876213761875,55.78756379641336,26.53779400977041,5.803983081269218
Premier League 2025/26 | post_0_to_105m  F=60s,pooled,24,1045147,76.18143667828545,24.49772908179988,77.09435302334697,1.0700855939152103,1.1042468255148288,56.92620686425995,26.116745485477054,5.644300853740381
Premier League 2025/26 | post_0_to_105m  F=60s,pooled,25,1058372,76.20789287698466,25.210469635248398,77.12713065214459,1.071140150348795,1.1047870862140012,57.979553932356296,25.73328026720357,5.48838007835058
Premier League 2025/26 | post_0_to_105m  F=60s,pooled,26,1070501,76.22748600888742,25.919581401882287,77.15828102738416,1.0720141379919168,1.1053656168052082,59.01922866819622,25.320378954597242,5.342541867615614
Premier League 2025/26 | post_0_to_105m  F=60s,pooled,27,1082433,76.2482296825762,26.59459037630129,77.18741938136073,1.0727269526340573,1.1057754991921278,59.98147367763887,24.94613787829127,5.199965663092506
Premier League 2025/26 | post_0_to_105m  F=60s,pooled,28,1093455,76.26815918350549,27.26720357103838,77.21618349747871,1.0732679781747059,1.106348011436062,60.9339014530755,24.54605047525401,5.0660049008131605
Premier League 2025/26 | post_0_to_105m  F=60s,pooled,29,1104537,76.28246043364777,27.907696149584055,77.24368943446827,1.073970238472616,1.106830852255076,61.81793635185965,24.182250940363037,4.934354075946996
Premier League 2025/26 | post_0_to_105m  F=60s,pooled,30,1114582,76.29748192595969,28.54562126391035,77.26952601849622,1.0743753054138552,1.1073075773037098,62.692075978211676,23.79724056125236,4.811724493140423
Premier League 2025/26 | post_0_to_105m  F=60s,pooled,31,1124505,76.31766866310065,29.153712287930578,77.2949843498872,1.0752729413536872,1.1077192394998214,63.504362348020166,23.44730065084048,4.691045870986874
Premier League 2025/26 | post_0_to_105m  F=60s,pooled,32,1133945,76.33447830362142,29.758275975090136,77.31987923346912,1.0758209240689391,1.1081432173170553,64.3069407376192,23.08126921696243,4.577265845702424
Premier League 2025/26 | post_0_to_105m  F=60s,pooled,33,1142968,76.35095645722365,30.336353420424217,77.34394865172987,1.0762028604696774,1.108613954546269,65.0564842128264,22.74376863167424,4.466997549593421
Premier League 2025/26 | post_0_to_105m  F=60s,pooled,34,1151596,76.36219646473242,30.909506641070063,77.36695688998118,1.0763461727093975,1.1090718890417528,65.79706887671489,22.39353217524309,4.36223876636856
Premier League 2025/26 | post_0_to_105m  F=60s,pooled,35,1159961,76.37653334896605,31.459435626102294,77.38789982300477,1.0767260471582578,1.1093810155999295,66.4927190148429,22.069126437858,4.258759813332085
Premier League 2025/26 | post_0_to_105m  F=60s,pooled,36,1167905,76.38643554056195,32.00456524792808,77.4071478467768,1.077435989575262,1.1096845159121898,67.17877042655803,21.736604704156324,4.160509434845718
Premier League 2025/26 | post_0_to_105m  F=60s,pooled,37,1175836,76.40410737551835,32.528796179238654,77.42467017516421,1.0778836723438086,1.1098907338368955,67.8252563562298,21.42641756801049,4.065380593404193
Premier League 2025/26 | post_0_to_105m  F=60s,pooled,38,1183186,76.41503533679405,33.04989776966178,77.44289311674602,1.078413004732051,1.1101719940199795,68.46404769708604,21.107490128139098,3.97557397262412
Premier League 2025/26 | post_0_to_105m  F=60s,pooled,39,1190433,76.42504870076687,33.55151316508249,77.46066212451193,1.0790164338184816,1.1104309012085398,69.06664481590735,20.809570632579483,3.888170935368576
Premier League 2025/26 | post_0_to_105m  F=60s,pooled,40,1197192,76.43452345154328,34.0499055735044,77.47813480968131,1.0792257257466942,1.110741271731772,69.66324858360257,20.50311373320223,3.8054970267359645
Premier League 2025/26 | post_0_to_105m  F=60s,pooled,41,1203902,76.44301612589729,34.52862449470119,77.49448509289302,1.0795162830828473,1.1110053234355197,70.22590563593513,20.217227762950476,3.7258041859811772
