cell,source,horizon,triggers,eligible,followed,follow_pct
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,KALSHI,25,619607,614708.0,518299.0,84.31629326444425
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,KALSHI,26,619607,614521.0,521516.0,84.86544804815458
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,KALSHI,27,619607,614306.0,524377.0,85.36087878028214
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,KALSHI,28,619607,614104.0,527148.0,85.84018342170056
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,KALSHI,29,619607,613892.0,529615.0,86.27168948284063
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,KALSHI,30,619607,613687.0,532073.0,86.70103815137033
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,KALSHI,31,619607,613488.0,534268.0,87.08695198602092
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,KALSHI,32,619607,613266.0,536378.0,87.46253664804506
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,KALSHI,33,619607,613086.0,538349.0,87.80970369572947
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,KALSHI,34,619607,612919.0,540285.0,88.14949446827394
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,KALSHI,35,619607,612714.0,542000.0,88.45888946555816
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,KALSHI,36,619607,612526.0,543777.0,88.77614991037115
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,KALSHI,37,619607,612324.0,545355.0,89.06314304191899
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,KALSHI,38,619607,612125.0,546958.0,89.35397181948132
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,KALSHI,39,619607,611924.0,548362.0,89.6127623691831
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,KALSHI,40,619607,611730.0,549809.0,89.87772383240973
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,KALSHI,41,619607,611526.0,551135.0,90.12454090259449
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,KALSHI,42,619607,611324.0,552400.0,90.36124869954394
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,KALSHI,43,619607,611133.0,553592.0,90.58453724475687
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,KALSHI,44,619607,610945.0,554827.0,90.81455777524982
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,KALSHI,45,619607,610754.0,555967.0,91.02961257724058
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,KALSHI,46,619607,610570.0,557012.0,91.22819660317408
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,KALSHI,47,619607,610359.0,558001.0,91.4217698108818
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,KALSHI,48,619607,610172.0,559064.0,91.6240011013288
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,KALSHI,49,619607,609977.0,559944.0,91.79755958011532
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,KALSHI,50,619607,609766.0,560846.0,91.9772502894553
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,KALSHI,51,619607,609579.0,561724.0,92.14949990075118
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,KALSHI,52,619607,609379.0,562524.0,92.31102483019599
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,KALSHI,53,619607,609178.0,563307.0,92.47001697369242
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,KALSHI,54,619607,608990.0,564080.0,92.62549467150528
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,KALSHI,55,619607,608812.0,564837.0,92.77691635513098
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,KALSHI,56,619607,608625.0,565522.0,92.91797083590059
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,KALSHI,57,619607,608423.0,566232.0,93.06551527473485
UEFA Champions League 2025/26 | post_0_to_105m  F=60s,KALSHI,58,619607,608228.0,566891.0,93.20369992831635
